t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r
6.0487,0.016760,-0.004582,0.004582,-0.001534,0.001534
6.0664,0.017708,-0.008484,0.008484,0.001534,0.000000
6.0832,0.016763,-0.013244,0.013244,0.001534,0.000000
6.1001,0.016925,-0.019070,0.019070,-0.006136,0.006136
6.1169,0.016776,-0.025820,0.025820,-0.004602,0.006136
6.1337,0.016753,-0.033489,0.033489,-0.003068,0.004602
6.1504,0.016776,-0.042048,0.042048,-0.003068,0.004602
6.1672,0.016759,-0.051425,0.051425,-0.016874,0.016874
6.1840,0.016760,-0.061570,0.061570,-0.026078,0.024544
6.2007,0.016754,-0.072415,0.072415,-0.026078,0.027612
6.2175,0.016768,-0.083906,0.083906,-0.039884,0.038350
6.2342,0.016757,-0.095955,0.095955,-0.056757,0.053689
6.2510,0.016768,-0.108502,0.108502,-0.056757,0.053689
6.2677,0.016751,-0.121447,0.121447,-0.065961,0.064427
6.2845,0.016753,-0.134725,0.134725,-0.079767,0.076699
6.3013,0.016774,-0.148267,0.148267,-0.088971,0.090505
6.3180,0.016720,-0.161930,0.161930,-0.111981,0.107379
6.3348,0.016775,-0.175716,0.175716,-0.131922,0.128854
6.3515,0.016761,-0.189483,0.189483,-0.131922,0.128854
6.3683,0.016760,-0.203156,0.203156,-0.141126,0.142660
6.3851,0.016760,-0.216651,0.216651,-0.159534,0.151864
6.4019,0.016838,-0.229944,0.229944,-0.173340,0.170272
6.4187,0.016762,-0.242831,0.242831,-0.193282,0.187146
6.4355,0.016807,-0.255324,0.255324,-0.211689,0.213223
6.4523,0.016870,-0.267355,0.267355,-0.211689,0.213223
6.4691,0.016757,-0.278725,0.278725,-0.217825,0.223961
6.4858,0.016754,-0.289444,0.289444,-0.233165,0.234699
6.5026,0.016763,-0.299452,0.299452,-0.248505,0.254641
6.5194,0.016754,-0.308676,0.308676,-0.263845,0.268447
6.5363,0.016963,-0.317164,0.317164,-0.286854,0.282252
6.5536,0.017241,-0.324857,0.324857,-0.286854,0.282252
6.5703,0.016756,-0.331384,0.331384,-0.297592,0.292990
6.5871,0.016754,-0.336933,0.336933,-0.303728,0.300660
6.6038,0.016773,-0.341474,0.341474,-0.317534,0.311398
6.6206,0.016755,-0.344970,0.344970,-0.326738,0.322136
6.6375,0.016904,-0.347421,0.347421,-0.332874,0.335942
6.6543,0.016761,-0.348768,0.348768,-0.332874,0.335942
6.6710,0.016777,-0.349029,0.349029,-0.343612,0.342078
6.6878,0.016760,-0.348201,0.348201,-0.340544,0.342078
6.7046,0.016773,-0.346288,0.346288,-0.349748,0.349748
6.7214,0.016799,-0.343298,0.343298,-0.354350,0.349748
6.7383,0.016924,-0.339216,0.339216,-0.343612,0.345146
6.7551,0.016766,-0.334140,0.334140,-0.343612,0.345146
6.7719,0.016825,-0.328045,0.328045,-0.351282,0.346680
6.7886,0.016753,-0.321018,0.321018,-0.349748,0.343612
6.8054,0.016761,-0.313074,0.313074,-0.340544,0.339010
6.8222,0.016753,-0.304271,0.304271,-0.335942,0.334408
6.8389,0.016764,-0.294654,0.294654,-0.335942,0.334408
6.8557,0.016760,-0.284289,0.284289,-0.325204,0.325204
6.8724,0.016750,-0.273247,0.273247,-0.317534,0.317534
6.8892,0.016749,-0.261591,0.261591,-0.311398,0.308330
6.9059,0.016759,-0.249386,0.249386,-0.302194,0.299126
6.9227,0.016759,-0.236714,0.236714,-0.288388,0.283786
6.9395,0.016775,-0.223642,0.223642,-0.273049,0.271515
6.9562,0.016763,-0.210273,0.210273,-0.273049,0.271515
6.9730,0.016753,-0.196689,0.196689,-0.259243,0.259243
6.9897,0.016757,-0.182963,0.182963,-0.243903,0.245437
7.0065,0.016766,-0.169178,0.169178,-0.228563,0.233165
7.0233,0.016756,-0.155434,0.155434,-0.219359,0.214757
7.0400,0.016775,-0.141794,0.141794,-0.219359,0.214757
7.0568,0.016756,-0.128373,0.128373,-0.197884,0.194816
7.0736,0.016838,-0.115177,0.115177,-0.181010,0.177942
7.0904,0.016765,-0.102409,0.102409,-0.168738,0.165670
7.1072,0.016752,-0.090100,0.090100,-0.148796,0.148796
